Date,Close,High,Low,Open,Volume
2020-10-21,23179.0,23180.0,22838.857421875,23179.0,0
2020-10-22,23177.0,23179.0,22845.064453125,22865.849609375,0
2020-10-23,23176.0,23180.0,22842.017578125,23177.0,0
2020-10-26,23176.0,23177.0,22836.21484375,23177.0,0
2020-10-27,23175.0,23176.0,22839.98046875,22839.98046875,0
2020-10-28,23175.0,23177.0,22840.951171875,23175.0,0
2020-10-29,23176.0,23181.0,22794.8125,23176.0,0
2020-10-30,23170.0,23180.0,22836.583984375,22877.634765625,0
2020-11-02,23180.0,23177.0,22836.150390625,23177.0,0
2020-11-03,23177.0,23177.0,22833.91015625,23177.0,0
2020-11-04,23176.0,23177.0,22819.45703125,22876.8984375,0
2020-11-05,23176.0,23177.0,23175.0,23175.0,0
2020-11-06,23175.0,23180.0,22829.828125,23175.0,0
2020-11-09,23176.0,23176.0,22859.98046875,23176.0,0
2020-11-10,23170.0,23175.0,22823.919921875,23170.0,0
2020-11-11,23173.0,23175.0,22786.9609375,23173.0,0
2020-11-12,23175.0,23175.0,22808.7890625,22808.7890625,0
2020-11-13,23175.0,23180.0,22841.875,22841.875,0
2020-11-16,23175.0,23176.0,22807.669921875,23175.0,0
2020-11-17,23175.0,23176.0,22776.90234375,23175.0,0
2020-11-18,23163.0,23176.0,22838.388671875,23163.0,0
2020-11-19,23160.0,23176.0,22839.837890625,23160.0,0
2020-11-20,23176.0,23182.0,22764.8359375,23176.0,0
2020-11-23,23176.0,23182.0,22851.091796875,23176.0,0
2020-11-24,23177.0,23170.0,22815.34765625,22960.98046875,0
2020-11-25,23151.0,23165.0,22755.904296875,23151.0,0
2020-11-26,23160.0,23164.0,22744.595703125,23160.0,0
2020-11-27,23164.0,23180.0,22807.8125,23164.0,0
2020-11-30,23160.0,23177.0,22743.130859375,23177.0,0
2020-12-01,23140.0,23140.0,22801.490234375,23140.0,0
2020-12-02,23129.0,23131.0,22609.8203125,23129.0,0
2020-12-03,23129.0,23130.0,22683.162109375,23129.0,0
2020-12-04,23125.0,23130.0,22777.41015625,23125.0,0
2020-12-07,23130.0,23130.0,22806.126953125,23130.0,0
2020-12-08,23127.0,23130.0,22785.091796875,23127.0,0
2020-12-09,23128.0,23130.0,22786.97265625,23128.0,0
2020-12-10,23128.0,23130.0,22808.1796875,22857.615234375,0
2020-12-11,23128.0,23177.0,22804.6875,23177.0,0
2020-12-14,23128.0,23177.0,22802.71484375,23177.0,0
2020-12-15,23126.0,23127.0,22789.681640625,23126.0,0
2020-12-16,23126.0,23127.0,22802.240234375,23126.0,0
2020-12-17,23126.0,23126.0,22805.07421875,23126.0,0
2020-12-18,23120.0,23124.0,22767.76953125,22767.76953125,0
2020-12-21,23124.0,23125.0,22911.166015625,23124.0,0
2020-12-22,23120.0,23134.0,22673.55078125,23120.0,0
2020-12-23,23127.0,23135.0,22806.98828125,23127.0,0
2020-12-24,23130.0,23136.0,22774.94921875,23130.0,0
2020-12-25,23125.0,23152.0,22818.8203125,23125.0,0
2020-12-28,23130.0,23130.0,22808.009765625,23130.0,0
2020-12-29,23125.0,23125.0,22748.501953125,23125.0,0
2020-12-30,23120.0,23125.0,22716.880859375,23120.0,0
2020-12-31,23088.0,23095.0,22700.642578125,22700.642578125,0
2021-01-01,23070.0,23070.0,23070.0,23070.0,0
2021-01-04,23070.0,23095.0,22745.234375,23095.0,0
2021-01-05,23070.0,23098.0,22781.490234375,23070.0,0
2021-01-06,23080.0,23096.0,22751.939453125,23080.0,0
2021-01-07,23090.0,23129.0,22758.46875,23090.0,0
2021-01-08,23078.0,23078.0,22740.369140625,23078.0,0
2021-01-11,22788.548828125,23070.0,22741.92578125,23066.0,0
2021-01-12,23050.0,23070.0,22732.060546875,23050.0,0
2021-01-13,23065.0,23070.0,22613.265625,23065.0,0
2021-01-14,23064.0,23068.0,22730.01953125,23064.0,0
2021-01-15,23064.0,23067.0,22737.3359375,23064.0,0
2021-01-18,22818.826171875,23095.0,22741.251953125,23095.0,0
2021-01-19,23069.0,23070.0,22684.1796875,23069.0,0
2021-01-20,23069.0,23075.0,22742.171875,23069.0,0
2021-01-21,23072.0,23075.0,22721.162109375,23072.0,0
2021-01-22,23060.0,23076.0,22685.73046875,23060.0,0
2021-01-25,23070.0,23075.0,22743.61328125,23070.0,0
2021-01-26,23060.0,23070.0,22730.154296875,23060.0,0
2021-01-27,23069.0,23070.0,22696.41796875,23069.0,0
2021-01-28,23069.0,23069.0,22768.345703125,23069.0,0
2021-01-29,23059.0,23070.0,22691.408203125,23059.0,0
2021-02-01,22699.072265625,23048.0,22708.65625,23048.0,0
2021-02-02,23045.0,23061.0,23010.0,23045.0,0
2021-02-03,23027.0,23061.0,22703.462890625,23027.0,0
2021-02-04,23020.0,23025.0,22651.306640625,23020.0,0
2021-02-05,23015.0,23015.0,22677.07421875,23015.0,0
2021-02-08,23000.0,23000.0,22655.798828125,23000.0,0
2021-02-09,22970.0,23010.0,22596.908203125,22970.0,0
2021-02-10,23010.0,23010.0,22697.564453125,23010.0,0
2021-02-11,23010.0,23010.0,22682.75,22698.21875,0
2021-02-12,23010.0,23010.0,22686.2109375,22686.2109375,0
2021-02-15,23010.0,23010.0,22697.3984375,23010.0,0
2021-02-16,23010.0,23010.0,22666.650390625,22666.650390625,0
2021-02-17,23010.0,23020.0,22682.916015625,22970.0,0
2021-02-18,23010.0,23015.0,22691.568359375,23010.0,0
2021-02-19,23015.0,23018.0,22655.244140625,23015.0,0
2021-02-22,22727.703125,23022.0,22695.625,23018.0,0
2021-02-23,23020.0,23025.0,22621.908203125,23020.0,0
2021-02-24,23025.0,23025.0,22688.005859375,22691.8515625,0
2021-02-25,23020.0,23025.0,22694.94921875,23020.0,0
2021-02-26,23025.0,23017.0,22679.6796875,23010.0,0
2021-03-01,23015.0,23026.0,22699.494140625,23015.0,0
2021-03-02,23020.0,23030.0,22696.8515625,22722.890625,0
2021-03-03,23022.0,23030.0,22694.5234375,23025.0,0
2021-03-04,23020.0,23021.0,22680.56640625,23020.0,0
2021-03-05,23019.0,23035.0,22688.357421875,23019.0,0
2021-03-08,23033.0,22707.5,22707.189453125,22707.189453125,0
2021-03-09,22707.5,22753.34375,22726.470703125,22753.34375,0
2021-03-10,22726.470703125,23052.0,22712.40625,22760.697265625,0
2021-03-11,23052.0,23053.0,22723.73828125,23052.0,0
2021-03-12,23051.0,23056.0,22710.3828125,23051.0,0
2021-03-15,22651.580078125,23081.0,22692.87109375,23055.0,0
2021-03-16,23081.0,23082.0,22748.921875,23075.0,0
2021-03-17,23082.0,23082.0,23045.0,23082.0,0
2021-03-18,23045.0,23065.0,22724.228515625,23045.0,0
2021-03-19,23065.0,23075.0,22729.984375,23065.0,0
2021-03-22,22761.62890625,23080.0,22743.1640625,23073.0,0
2021-03-23,23076.0,23076.0,22737.1015625,23076.0,0
2021-03-24,23070.0,23081.0,22748.017578125,23070.0,0
2021-03-25,23080.0,23085.0,22742.6328125,23080.0,0
2021-03-26,23084.0,23090.0,22742.791015625,23090.0,0
2021-03-29,23084.0,23084.0,22744.1953125,23084.0,0
2021-03-30,23070.0,23070.0,22733.43359375,23070.0,0
2021-03-31,23070.0,23075.0,22729.578125,23070.0,0
2021-04-01,23074.0,23076.0,22731.978515625,22740.62109375,0
