symbol,organ_name,com_type_code,icb_level,icb_code,icb_name
AMS,Công ty Cổ phần Cơ khí Xây dựng AMECC,CT,2,2700,Hàng & Dịch vụ Công nghiệp
AMS,Công ty Cổ phần Cơ khí Xây dựng AMECC,CT,3,2790,Tư vấn & Hỗ trợ Kinh doanh
AMS,Công ty Cổ phần Cơ khí Xây dựng AMECC,CT,4,2797,Nhà cung cấp thiết bị
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,CT,1,4000,Dược phẩm và Y tế
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,CT,2,4500,Y tế
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,CT,3,4530,Thiết bị và Dịch vụ Y tế
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,CT,4,4535,Thiết bị y tế
ANI,Công ty Cổ phần ANI,CT,1,7000,Tiện ích Cộng đồng
ANI,Công ty Cổ phần ANI,CT,2,7500,"Điện, nước & xăng dầu khí đốt"
ANI,Công ty Cổ phần ANI,CT,3,7530,Sản xuất & Phân phối Điện
ANI,Công ty Cổ phần ANI,CT,4,7535,Sản xuất & Phân phối Điện
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,CT,1,3000,Hàng Tiêu dùng
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,CT,2,3500,Thực phẩm và đồ uống
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,CT,3,3570,Sản xuất thực phẩm
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,CT,4,3577,Thực phẩm
ANV,Công ty Cổ phần Nam Việt,CT,1,3000,Hàng Tiêu dùng
ANV,Công ty Cổ phần Nam Việt,CT,2,3500,Thực phẩm và đồ uống
ANV,Công ty Cổ phần Nam Việt,CT,3,3570,Sản xuất thực phẩm
ANV,Công ty Cổ phần Nam Việt,CT,4,3573,Nuôi trồng nông & hải sản
APC,Công ty Cổ phần Chiếu xạ An Phú,CT,1,4000,Dược phẩm và Y tế
APC,Công ty Cổ phần Chiếu xạ An Phú,CT,2,4500,Y tế
APC,Công ty Cổ phần Chiếu xạ An Phú,CT,3,4570,Dược phẩm
APC,Công ty Cổ phần Chiếu xạ An Phú,CT,4,4573,Công nghệ sinh học
APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,CT,1,3000,Hàng Tiêu dùng
APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,CT,2,3500,Thực phẩm và đồ uống
APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,CT,3,3570,Sản xuất thực phẩm
APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,CT,4,3577,Thực phẩm
APG,Công ty Cổ phần Chứng khoán APG,CK,1,8000,Tài chính
APG,Công ty Cổ phần Chứng khoán APG,CK,2,8700,Dịch vụ tài chính
APG,Công ty Cổ phần Chứng khoán APG,CK,3,8770,Dịch vụ tài chính
APG,Công ty Cổ phần Chứng khoán APG,CK,4,8777,Môi giới chứng khoán
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,CT,1,2000,Công nghiệp
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,CT,2,2700,Hàng & Dịch vụ Công nghiệp
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,CT,3,2720,Hàng công nghiệp
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,CT,4,2723,Containers & Đóng gói
API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,CT,1,8000,Tài chính
API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,CT,2,8600,Bất động sản
API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,CT,3,8630,Bất động sản
API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,CT,4,8633,Bất động sản
APL,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,CT,1,2000,Công nghiệp
APL,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,CT,2,2700,Hàng & Dịch vụ Công nghiệp
APL,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,CT,3,2750,Công nghiệp nặng
APL,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,CT,4,2757,Máy công nghiệp
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,CT,1,1000,Nguyên vật liệu
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,CT,2,1300,Hóa chất
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,CT,3,1350,Hóa chất
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,CT,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
APR,Công ty Cổ phần Đầu Tư Bất Động Sản An Phú,CT,1,8000,Tài chính
APR,Công ty Cổ phần Đầu Tư Bất Động Sản An Phú,CT,2,8600,Bất động sản
APR,Công ty Cổ phần Đầu Tư Bất Động Sản An Phú,CT,3,8630,Bất động sản
APR,Công ty Cổ phần Đầu Tư Bất Động Sản An Phú,CT,4,8633,Bất động sản
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,CK,1,8000,Tài chính
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,CK,2,8700,Dịch vụ tài chính
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,CK,3,8770,Dịch vụ tài chính
