time,usepuindxd,epu_log
2019-09-04,92.02,4.522005944727322
2019-09-05,106.57,4.668802046232865
2019-09-06,130.51,4.8714498521794365
2019-09-09,65.84,4.187227556368814
2019-09-10,64.63,4.168678699274804
2019-09-11,58.52,4.069368576151923
2019-09-12,100.33,4.608464752937522
2019-09-13,103.12,4.635893358630932
2019-09-16,67.24,4.208268308540415
2019-09-17,79.18,4.371723741677985
2019-09-18,72.64,4.285515734293038
2019-09-19,184.82,5.219382378459894
2019-09-20,98.34,4.5884308619837935
2019-09-23,134.52,4.901712886872069
2019-09-24,120.81,4.7942190635314725
2019-09-25,144.83,4.975560640812765
2019-09-26,60.07,4.09551054886207
2019-09-27,101.26,4.617691466541763
2019-09-30,113.0,4.727387818712341
2019-10-01,65.08,4.175617282350837
2019-10-02,92.82,4.5306621338130295
2019-10-03,46.59,3.8413859258287055
2019-10-04,105.75,4.661077817926388
2019-10-07,137.56,4.924060185564065
2019-10-08,165.35,5.108064439427801
2019-10-09,62.58,4.136445738240736
2019-10-10,119.93,4.78690823924363
2019-10-11,95.08,4.554718642491993
2019-10-14,108.55,4.6872108963243
2019-10-15,68.05,4.220242729097475
2019-10-16,114.65,4.741884009303914
2019-10-17,156.8,5.054971107916307
2019-10-18,64.05,4.159664028342744
2019-10-21,57.74,4.055950174234789
2019-10-22,42.25,3.743604353803183
2019-10-23,80.02,4.382276603429089
2019-10-24,56.27,4.030161533445187
2019-10-25,67.88,4.217741440366026
2019-10-28,28.94,3.365224721203338
2019-10-29,134.13,4.898809478913999
2019-10-30,111.12,4.7106106984460885
2019-10-31,133.29,4.892527205615926
2019-11-01,35.14,3.559340082758951
2019-11-04,75.66,4.326249619204883
2019-11-05,129.4,4.8629083820668
2019-11-06,48.77,3.887115369721961
2019-11-07,67.84,4.217151991483648
2019-11-08,127.43,4.847567194224188
2019-11-11,101.72,4.622223940553919
2019-11-12,89.57,4.495020442487104
2019-11-13,106.88,4.671706709788335
2019-11-14,53.75,3.984343667007772
2019-11-15,56.77,4.039008017182635
2019-11-18,19.85,2.9882040071331994
2019-11-19,33.14,3.500741011998417
2019-11-20,46.27,3.834493802918909
2019-11-21,65.17,4.176999240344289
2019-11-22,83.86,4.429148741742616
2019-11-25,41.17,3.717709835781813
2019-11-26,37.49,3.6240742307478206
