time,close,high,low,open,volume,fx_log_ret
2020-11-12,23175.0,23175.0,22808.7890625,22808.7890625,0.0,8.630361617513022e-05
2020-11-13,23175.0,23180.0,22841.875,22841.875,0.0,0.0
2020-11-16,23175.0,23176.0,22807.669921875,23175.0,0.0,0.0
2020-11-17,23175.0,23176.0,22776.90234375,23175.0,0.0,0.0
2020-11-18,23163.0,23176.0,22838.388671875,23163.0,0.0,-0.0005179334571303
2020-11-19,23160.0,23176.0,22839.837890625,23160.0,0.0,-0.0001295252899939
2020-11-20,23176.0,23182.0,22764.8359375,23176.0,0.0,0.0006906077622548
2020-11-23,23176.0,23182.0,22851.091796875,23176.0,0.0,0.0
2020-11-24,23177.0,23170.0,22815.34765625,22960.98046875,0.0,4.31471533733098e-05
2020-11-25,23151.0,23165.0,22755.904296875,23151.0,0.0,-0.0011224314768468
2020-11-26,23160.0,23164.0,22744.595703125,23160.0,0.0,0.0003886765612188
2020-11-27,23164.0,23180.0,22807.8125,23164.0,0.0,0.0001726966587487
2020-11-30,23160.0,23177.0,22743.130859375,23177.0,0.0,-0.0001726966587488
2020-12-01,23140.0,23140.0,22801.490234375,23140.0,0.0,-0.000863930939264
2020-12-02,23129.0,23131.0,22609.8203125,23129.0,0.0,-0.0004754803521684
2020-12-03,23129.0,23130.0,22683.162109375,23129.0,0.0,0.0
2020-12-04,23125.0,23130.0,22777.41015625,23125.0,0.0,-0.0001729580148731
2020-12-07,23130.0,23130.0,22806.126953125,23130.0,0.0,0.0002161928448589
2020-12-08,23127.0,23130.0,22785.091796875,23127.0,0.0,-0.0001297100981129
2020-12-09,23128.0,23130.0,22786.97265625,23128.0,0.0,4.3238568810125406e-05
2020-12-10,23128.0,23130.0,22808.1796875,22857.615234375,0.0,0.0
2020-12-11,23128.0,23177.0,22804.6875,23177.0,0.0,0.0
2020-12-14,23128.0,23177.0,22802.71484375,23177.0,0.0,0.0
2020-12-15,23126.0,23127.0,22789.681640625,23126.0,0.0,-8.647900727493296e-05
2020-12-16,23126.0,23127.0,22802.240234375,23126.0,0.0,0.0
2020-12-17,23126.0,23126.0,22805.07421875,23126.0,0.0,0.0
2020-12-18,23120.0,23124.0,22767.76953125,22767.76953125,0.0,-0.0002594819025932
2020-12-21,23124.0,23125.0,22911.166015625,23124.0,0.0,0.0001729954160528
2020-12-22,23120.0,23134.0,22673.55078125,23120.0,0.0,-0.0001729954160529
2020-12-23,23127.0,23135.0,22806.98828125,23127.0,0.0,0.000302722341058
