date,capital,ticker,so_lo,so_co_phieu,gia_hien_tai,so_tien_chi,ty_trong_goc_ppo,ty_trong_thuc_te,used_capital,cash_left,tracking_error
14/07/2026,100000000,HDC,3,300,14350.0,4305000.0,0.042,0.043,99885000.0,115000.0,0.535
14/07/2026,100000000,HDG,1,100,19150.0,1915000.0,0.0115,0.0192,99885000.0,115000.0,0.535
14/07/2026,100000000,IMP,3,300,39000.0,11700000.0,0.093,0.117,99885000.0,115000.0,0.535
14/07/2026,100000000,KDC,2,200,50000.0,10000000.0,0.0534,0.1,99885000.0,115000.0,0.535
14/07/2026,100000000,KDH,2,200,19900.0,3980000.0,0.0302,0.0398,99885000.0,115000.0,0.535
14/07/2026,100000000,MBB,1,100,24550.0,2455000.0,0.0152,0.0245,99885000.0,115000.0,0.535
14/07/2026,100000000,NLG,1,100,25300.0,2530000.0,0.0249,0.0253,99885000.0,115000.0,0.535
14/07/2026,100000000,NT2,1,100,21600.0,2160000.0,0.0124,0.0216,99885000.0,115000.0,0.535
14/07/2026,100000000,PDR,4,400,13900.0,5560000.0,0.044,0.0556,99885000.0,115000.0,0.535
14/07/2026,100000000,SJS,1,100,48500.0,4850000.0,0.0324,0.0485,99885000.0,115000.0,0.535
14/07/2026,100000000,TCH,5,500,14300.0,7150000.0,0.0647,0.0715,99885000.0,115000.0,0.535
14/07/2026,100000000,VCB,1,100,58770.0,5877000.0,0.0388,0.0588,99885000.0,115000.0,0.535
14/07/2026,100000000,VGC,2,200,39790.0,7958000.0,0.0527,0.0796,99885000.0,115000.0,0.535
14/07/2026,100000000,VHC,1,100,57400.0,5740000.0,0.0563,0.0574,99885000.0,115000.0,0.535
14/07/2026,100000000,VIX,2,200,14700.0,2940000.0,0.0157,0.0294,99885000.0,115000.0,0.535
15/07/2026,100000000,DBC,1,100,17200.0,1720000.0,0.0147,0.0172,99893000.0,107000.0,0.5909
15/07/2026,100000000,DGW,2,200,37800.0,7560000.0,0.0454,0.0756,99893000.0,107000.0,0.5909
15/07/2026,100000000,DXG,2,200,12200.0,2440000.0,0.0209,0.0244,99893000.0,107000.0,0.5909
