date,user_tier,capital_tier,ticker,action,shares,price,total_cost,buy_factor_pct
08/04/2026,500M,500000000,GAS,BUY,100,79900.0,7990000.0,100
08/04/2026,500M,500000000,MBB,BUY,100,25580.0,2558000.0,100
08/04/2026,500M,500000000,VGC,BUY,100,45900.0,4590000.0,100
08/04/2026,500M,500000000,VND,BUY,100,16670.0,1667000.0,100
09/04/2026,50M,50000000,DBC,SELL,100,20320.0,-2032000.0,100
09/04/2026,50M,50000000,NLG,BUY,100,28840.0,2884000.0,100
09/04/2026,100M,100000000,DBC,SELL,100,20320.0,-2032000.0,100
09/04/2026,100M,100000000,MBB,SELL,100,25480.0,-2548000.0,100
09/04/2026,100M,100000000,EIB,BUY,100,22600.0,2260000.0,100
09/04/2026,100M,100000000,VND,BUY,100,16379.999999999998,1637999.9999999998,100
09/04/2026,250M,250000000,DXG,SELL,100,13360.0,-1336000.0,100
09/04/2026,250M,250000000,VGC,SELL,100,46000.0,-4600000.0,100
09/04/2026,250M,250000000,VND,SELL,100,16379.999999999998,-1637999.9999999998,100
09/04/2026,250M,250000000,EIB,BUY,100,22600.0,2260000.0,100
09/04/2026,250M,250000000,NLG,BUY,100,28840.0,2884000.0,100
09/04/2026,250M,250000000,VIC,BUY,100,149200.0,14920000.0,100
09/04/2026,500M,500000000,DXG,SELL,100,13360.0,-1336000.0,100
09/04/2026,500M,500000000,HDC,SELL,100,16700.0,-1670000.0,100
09/04/2026,500M,500000000,SJS,SELL,100,52700.0,-5270000.0,100
09/04/2026,500M,500000000,VGC,SELL,100,46000.0,-4600000.0,100
09/04/2026,500M,500000000,VND,SELL,100,16379.999999999998,-1637999.9999999998,100
09/04/2026,500M,500000000,BSI,BUY,100,33790.0,3379000.0,100
09/04/2026,500M,500000000,EIB,BUY,100,22600.0,2260000.0,100
09/04/2026,500M,500000000,NLG,BUY,100,28840.0,2884000.0,100
09/04/2026,500M,500000000,VCB,BUY,100,59400.0,5940000.0,100
10/04/2026,50M,50000000,MBB,SELL,100,25670.0,-2567000.0,100
10/04/2026,50M,50000000,DBC,BUY,100,20500.0,2050000.0,100
10/04/2026,100M,100000000,EIB,SELL,100,23100.0,-2310000.0,100
10/04/2026,100M,100000000,VHC,SELL,100,61200.0,-6120000.0,100
10/04/2026,100M,100000000,VSC,SELL,100,25000.0,-2500000.0,100
